瘤痢,斥档,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公
合冕玫,2020,2020-10-21,3老,2020-10-27,-2老, , , , , , ,2020-10-23,8老,2020-10-28,1老, , , , , , 
合冕玫,2021,2021-10-27,9老,2021-11-02,4老, , , , , , ,2021-10-26,11老,2021-11-01,5老, , , , , , 
合冕玫,2022,2022-10-18,0老,2022-10-24,-5老, , , , , , ,2022-10-22,7老,2022-10-26,-1老, , , , , , 
合冕玫,2023,2023-10-20,2老,2023-10-23,-6老, , , , , , ,2023-10-23,8老,2023-10-26,-1老, , , , , , 
伙么,1989,1989-10-09, ,1989-10-26, , , ,1989-11-03, ,1989-11-12, ,1989-10-21, ,1989-11-05, , , ,1989-11-12, ,1989-11-20, 
伙么,1990,1990-10-20, ,1990-11-01, , , ,1990-11-06, ,1990-11-15, ,1990-10-18, ,1990-11-01, , , ,1990-11-04, ,1990-11-13, 
伙么,1991,1991-10-28, ,搬螟,—, , , , , , ,1991-10-11, ,搬螟,—, , , , , , 
伙么,1992,1992-11-01, , , , , , , , , ,1992-10-21, , , , , , , , , 
伙么,1993,1993-11-04, , , , , , , , , ,1993-10-27, , , , , , , , , 
伙么,1994,1994-11-05, , , , , , , , , , , , , , , , , , , 
加檬,1989,1989-09-15,-34老,1989-09-18,-42老, , ,搬螟,—,搬螟,—,1989-10-13,-3老,1989-10-24,-3老, , ,搬螟,—,搬螟,—
加檬,1990,搬螟,—,搬螟,—, , ,搬螟,—,搬螟,—,1990-10-07,-9老,1990-10-22,-5老, , ,1990-10-25, ,搬螟,—
加檬,1991,搬螟,—,搬螟,—, , , , , , ,1991-10-07,-9老,1991-10-25,-2老, , ,1991-11-01, ,搬螟,—
加檬,1992, , , , , , , , , , ,1992-09-26,-20老,1992-10-10,-17老, , ,1992-10-20, ,搬螟,—
加檬,1993,1993-10-15,-4老,1993-10-30,0老, , ,1993-11-06, ,1993-11-16, ,1993-10-11,-5老,1993-10-28,1老, , ,1993-11-06, ,1993-11-20, 
加檬,1994,1994-10-15,-4老,1994-10-30,0老, , , , , , ,1994-10-10,-6老,1994-10-27,0老, , , , , , 
加檬,1995,1995-10-16,-3老,1995-10-31,1老, , , , , , ,1995-09-21,-25老,1995-10-24,-3老, , , , , , 
加檬,1996,1996-09-25,-24老,1996-11-03,4老, , , , , , ,1996-09-25,-21老,1996-10-21,-6老, , , , , , 
加檬,1997,1997-10-13,-6老,1997-10-23,-7老, , , , , , ,1997-10-13,-3老,1997-10-21,-6老, , , , , , 
加檬,1998,1998-10-17,-2老,1998-10-28,-2老, , , , , , ,1998-10-17,1老,1998-10-27,0老, , , , , , 
加檬,1999,1999-10-19,0老,1999-11-02,3老, , , , , , ,1999-10-19,3老,1999-11-01,5老, , , , , , 
加檬,2000,2000-10-17,-2老,2000-10-26,-4老, , , , , , ,2000-10-16,0老,2000-10-25,-2老, , , , , , 
加檬,2001,2001-10-25,6老,2001-11-02,3老, , , , , , ,2001-10-22,6老,2001-10-30,3老, , , , , , 
加檬,2002,2002-10-23,4老,2002-10-30,0老, , , , , , ,2002-10-21,5老,2002-10-28,1老, , , , , , 
加檬,2003,2003-10-19,0老,2003-10-27,-3老, , , , , , ,2003-10-16,0老,2003-10-24,-3老, , , , , , 
加檬,2004,2004-10-16,-3老,2004-10-23,-7老, , , , , , ,2004-10-25,9老,2004-10-21,-6老, , , , , , 
加檬,2005,2005-10-20,1老,2005-10-27,-3老, , , , , , ,2005-10-22,6老,2005-10-28,1老, , , , , , 
加檬,2006,2006-10-24,5老,2006-10-29,-1老, , , , , , ,2006-10-24,8老,2006-10-30,3老, , , , , , 
加檬,2007,2007-10-27,8老,2007-11-03,4老, , , , , , ,2007-10-27,11老,2007-11-03,7老, , , , , , 
加檬,2008,2008-10-29,10老,2008-11-04,5老, , , , , , ,2008-10-29,13老,2008-11-04,8老, , , , , , 
加檬,2009,2009-10-18,-1老,2009-10-25,-5老, , , , , , ,2009-10-18,2老,2009-10-25,-2老, , , , , , 
加檬,2010,2010-10-24,5老,2010-11-02,3老, , , , , , ,2010-10-24,8老,2010-11-01,5老, , , , , , 
加檬,2011,2011-10-16,-3老,2011-10-25,-5老, , , , , , ,2011-10-16,0老,2011-10-25,-2老, , , , , , 
加檬,2012,2012-10-17,-2老,2012-10-27,-3老, , , , , , ,2012-10-17,1老,2012-10-27,0老, , , , , , 
加檬,2013,2013-10-22,3老,2013-10-30,0老, , , , , , ,2013-10-22,6老,2013-10-30,3老, , , , , , 
加檬,2014,2014-10-19,0老,2014-10-29,-1老, , , , , , ,2014-10-18,2老,2014-10-28,1老, , , , , , 
康岿,1995,1995-10-13,-4老,1995-10-23,-5老, , , , , , ,1995-10-14,-2老,1995-10-23,-4老, , , , , , 
康岿,1996,1996-10-11,-6老,1996-10-22,-6老, , , , , , ,1996-10-08,-8老,1996-10-22,-5老, , , , , , 
康岿,1997,1997-10-09,-8老,1997-10-18,-10老, , , , , , ,1997-10-09,-7老,1997-10-18,-9老, , , , , , 
康岿,1998,1998-10-11,-6老,1998-10-26,-2老, , , , , , ,1998-10-12,-4老,1998-10-26,-1老, , , , , , 
康岿,1999,1999-10-16,-1老,1999-10-28,0老, , , , , , ,1999-10-17,1老,1999-10-28,1老, , , , , , 
康岿,2000,2000-10-12,-5老,2000-10-29,1老, , , , , , ,2000-10-13,-3老,2000-10-24,-3老, , , , , , 
康岿,2001,2001-10-14,-3老,2001-10-31,3老, , , , , , ,2001-10-16,0老,2001-10-29,2老, , , , , , 
康岿,2002,2002-10-14,-3老,2002-10-20,-8老, , , , , , ,2002-10-14,-2老,2002-10-20,-7老, , , , , , 
康岿,2003,2003-10-11,-6老,2003-10-18,-10老, , , , , , ,2003-10-12,-4老,2003-10-19,-8老, , , , , , 
康岿,2004,2004-10-11,-6老,2004-10-21,-7老, , , , , , ,2004-10-11,-5老,2004-10-21,-6老, , , , , , 
康岿,2005,2005-10-18,1老,2005-10-28,0老, , , , , , ,2005-10-18,2老,2005-10-30,3老, , , , , , 
康岿,2006,2006-10-27,10老,2006-11-07,10老, , , , , , ,2006-10-27,11老,2006-11-10,14老, , , , , , 
康岿,2007,2007-10-28,11老,2007-11-06,9老, , , , , , ,2007-10-22,6老,2007-11-04,8老, , , , , , 
康岿,2008,2008-10-19,2老,2008-11-05,8老, , , , , , ,2008-10-18,2老,2008-11-01,5老, , , , , , 
康岿,2009,2009-10-19,2老,2009-10-31,3老, , , , , , ,2009-10-18,2老,2009-10-31,4老, , , , , , 
康岿,2010,2010-10-20,3老,2010-10-27,-1老, , , , , , ,2010-10-18,2老,2010-10-25,-2老, , , , , , 
康岿,2011,2011-10-21,4老,2011-10-31,3老, , , , , , ,2011-10-14,-2老,2011-10-24,-3老, , , , , , 
康岿,2012,2012-10-17,0老,2012-10-28,0老, , , , , , ,2012-10-11,-5老,2012-10-23,-4老, , , , , , 
康岿,2013,2013-10-22,5老,2013-10-29,1老, , , , , , ,2013-10-18,2老,2013-10-25,-2老, , , , , , 
康岿,2014, , , , , , , , , , ,2014-10-13,-3老, , , , , , , , 
盔林,1989,1989-09-29,-17老,1989-10-06,-20老, , ,1989-10-08, ,1989-11-06, ,1989-10-04,-11老,1989-10-18,-9老, , ,1989-10-12, ,1989-11-14, 
盔林,1990,搬螟,—,搬螟,—, , ,搬螟,—,搬螟,—,搬螟,—,搬螟,—, , ,搬螟,—,搬螟,—
盔林,1991,搬螟,—,搬螟,—, , , , , , ,搬螟,—,搬螟,—, , , , , , 
盔林,1994,1994-10-02,-14老,1994-10-20,-6老, , , , , , ,1994-10-05,-10老,1994-10-25,-2老, , , , , , 
盔林,1995,1995-10-10,-6老,1995-10-17,-9老, , , , , , ,1995-10-11,-4老,1995-10-17,-10老, , , , , , 
盔林,1996,1996-10-11,-5老,1996-10-21,-5老, , , , , , ,1996-10-08,-7老,1996-10-21,-6老, , , , , , 
盔林,1997,1997-10-09,-7老,1997-10-18,-8老, , , , , , ,1997-10-10,-5老,1997-10-21,-6老, , , , , , 
盔林,1998,1998-10-19,3老,1998-10-29,3老, , , , , , ,1998-10-19,4老,1998-10-29,2老, , , , , , 
盔林,1999,1999-10-16,0老,1999-10-25,-1老, , , , , , ,1999-10-18,3老,1999-10-25,-2老, , , , , , 
盔林,2000,2000-10-15,-1老,2000-10-21,-5老, , , , , , ,2000-10-15,0老,2000-10-21,-6老, , , , , , 
盔林,2001,2001-10-12,-4老,2001-10-22,-4老, , , , , , ,2001-10-16,1老,2001-10-24,-3老, , , , , , 
盔林,2002,2002-10-06,-10老,2002-10-13,-13老, , , , , , ,2002-10-10,-5老,2002-10-21,-6老, , , , , , 
盔林,2003,2003-10-20,4老,2003-10-26,0老, , , , , , ,2003-10-15,0老,2003-10-28,1老, , , , , , 
盔林,2004,2004-10-20,4老,2004-10-31,5老, , , , , , ,2004-10-22,7老,2004-11-01,5老, , , , , , 
盔林,2005,2005-10-22,6老,2005-10-30,4老, , , , , , ,2005-10-22,7老,2005-10-28,1老, , , , , , 
盔林,2006,2006-10-24,8老,2006-11-02,7老, , , , , , ,2006-10-24,9老,2006-11-02,6老, , , , , , 
盔林,2007,2007-10-29,13老,2007-11-05,10老, , , , , , ,2007-10-29,14老,2007-11-05,9老, , , , , , 
盔林,2008,2008-10-13,-3老,2008-11-03,8老, , , , , , ,2008-10-10,-5老,2008-11-03,7老, , , , , , 
盔林,2009,2009-10-16,0老,2009-10-27,1老, , , , , , ,2009-10-12,-3老,2009-10-27,0老, , , , , , 
盔林,2010,2010-10-21,5老,2010-10-30,4老, , , , , , ,2010-10-22,7老,2010-10-31,4老, , , , , , 
盔林,2011,2011-10-10,-6老,2011-10-23,-3老, , , , , , ,2011-10-13,-2老,2011-10-28,1老, , , , , , 
盔林,2012,2012-10-09,-7老,2012-10-24,-2老, , , , , , ,2012-10-02,-13老,2012-10-25,-2老, , , , , , 
盔林,2013,2013-10-18,2老,2013-10-31,5老, , , , , , ,2013-10-15,0老,2013-10-28,1老, , , , , , 
盔林,2014,2014-10-18,2老,2014-10-26,0老, , , , , , ,2014-10-02,-13老,2014-10-26,-1老, , , , , , 
牢力,1988,搬螟,—,搬螟,—, , ,搬螟,—,1988-10-26, , , , , , , , , , , 
牢力,1989,1989-10-06,-5老,1989-10-14,-7老, , ,1989-10-18, ,1989-10-25, ,1989-10-04,-6老,1989-10-10,-11老, , ,1989-10-18, ,1989-10-25, 
牢力,1990,1990-09-28,-13老,1990-10-20,-1老, , ,1990-10-28, ,1990-11-25, ,1990-09-30,-10老,1990-10-20,-1老, , ,1990-10-30, ,1990-11-25, 
牢力,1991,1991-10-03,-8老,1991-10-10,-11老, , , , , , ,1991-10-02,-8老,1991-10-08,-13老, , , , , , 
牢力,1992,1992-09-27,-14老,1992-10-12,-9老, , , , , , ,1992-09-27,-13老,1992-10-13,-8老, , , , , , 
牢力,1993,1993-10-02,-9老,1993-10-12,-9老, , , , , , ,1993-10-03,-7老,1993-10-13,-8老, , , , , , 
牢力,1994,1994-10-01,-10老,1994-10-14,-7老, , , , , , ,1994-10-01,-9老,1994-10-12,-9老, , , , , , 
牢力,1995,1995-10-14,3老,1995-10-26,5老, , , , , , ,1995-10-14,4老,1995-10-26,5老, , , , , , 
牢力,1996,1996-10-15,4老,1996-10-23,2老, , , , , , ,1996-10-16,6老,1996-10-23,2老, , , , , , 
牢力,1997,1997-10-13,2老,1997-10-19,-2老, , , , , , ,1997-10-14,4老,1997-10-19,-2老, , , , , , 
牢力,1998,1998-10-09,-2老,1998-10-22,1老, , , , , , ,1998-10-09,-1老,1998-10-22,1老, , , , , , 
牢力,1999,1999-10-10,-1老,1999-10-20,-1老, , , , , , ,1999-10-10,0老,1999-10-20,-1老, , , , , , 
牢力,2000,2000-10-08,-3老,2000-10-23,2老, , , , , , ,2000-10-06,-4老,2000-10-21,0老, , , , , , 
牢力,2001,2001-10-04,-7老,2001-10-17,-4老, , , , , , ,2001-10-05,-5老,2001-10-19,-2老, , , , , , 
牢力,2002,2002-10-11,0老,2002-10-15,-6老, , , , , , ,2002-10-13,3老,2002-10-18,-3老, , , , , , 
牢力,2003,2003-10-07,-4老,2003-10-19,-2老, , , , , , ,2003-10-05,-5老,2003-10-19,-2老, , , , , , 
牢力,2004,2004-10-14,3老,2004-10-25,4老, , , , , , ,2004-10-11,1老,2004-10-22,1老, , , , , , 
牢力,2005,2005-10-20,9老,2005-10-30,9老, , , , , , ,2005-10-17,7老,2005-10-27,6老, , , , , , 
牢力,2006,2006-10-23,12老,2006-10-31,10老, , , , , , ,2006-10-22,12老,2006-10-31,10老, , , , , , 
牢力,2007,2007-10-26,15老,2007-11-04,14老, , , , , , ,2007-10-23,13老,2007-11-04,14老, , , , , , 
枚盔,1991,1991-10-21,5老,1991-11-06,13老, , , , , , ,1991-10-17,5老,1991-11-10,18老, , , , , , 
枚盔,1992,1992-10-03,-13老,1992-10-12,-12老, , , , , , ,1992-10-03,-9老,1992-10-12,-11老, , , , , , 
枚盔,1993,1993-10-01,-15老,1993-10-09,-15老, , , , , , ,1993-10-01,-11老,1993-10-09,-14老, , , , , , 
枚盔,1994,1994-10-17,1老,1994-10-22,-2老, , , , , , ,1994-10-17,5老,1994-10-22,-1老, , , , , , 
枚盔,1995,1995-10-11,-5老,1995-10-26,2老, , , , , , ,1995-10-11,-1老,1995-10-26,3老, , , , , , 
枚盔,1996,1996-10-20,4老, , , , , , , , ,1996-10-11,-1老, , , , , , , , 
枚盔,1997,1997-10-14,-2老, , , , , , , , ,1997-10-06,-6老, , , , , , , , 
枚盔,1998,1998-10-17,1老,1998-11-02,9老, , , , , , ,1998-10-09,-3老,1998-10-29,6老, , , , , , 
枚盔,1999,1999-10-06,-10老,1999-10-09,-15老, , , , , , ,1999-10-06,-6老,1999-10-09,-14老, , , , , , 
枚盔,2000,2000-10-21,5老,2000-10-25,1老, , , , , , ,2000-10-05,-7老,2000-10-25,2老, , , , , , 
枚盔,2001,2001-10-22,6老,2001-10-29,5老, , , , , , ,2001-10-14,2老,2001-10-29,6老, , , , , , 
枚盔,2002,2002-10-18,2老,2002-10-26,2老, , , , , , ,2002-10-15,3老,2002-10-26,3老, , , , , , 
枚盔,2003,2003-10-20,4老,2003-10-24,0老, , , , , , ,2003-10-10,-2老,2003-10-15,-8老, , , , , , 
枚盔,2004,2004-10-17,1老,2004-10-22,-2老, , , , , , ,2004-10-13,1老,2004-10-20,-3老, , , , , , 
枚盔,2005,2005-10-14,-2老,2005-10-23,-1老, , , , , , ,2005-10-10,-2老,2005-10-21,-2老, , , , , , 
枚盔,2006,2006-10-15,-1老,2006-10-25,1老, , , , , , ,2006-10-11,-1老,2006-10-24,1老, , , , , , 
枚盔,2007,2007-10-14,-2老,2007-10-25,1老, , , , , , ,2007-10-10,-2老,2007-10-22,-1老, , , , , , 
枚盔,2008,2008-10-16,0老,2008-10-25,1老, , , , , , ,2008-10-12,0老,2008-10-24,1老, , , , , , 
枚盔,2009,2009-10-15,-1老,2009-10-25,1老, , , , , , ,2009-10-13,1老,2009-10-23,0老, , , , , , 
枚盔,2010,2010-10-16,0老,2010-10-24,0老, , , , , , ,2010-10-12,0老,2010-10-23,0老, , , , , , 
枚盔,2011,2011-10-17,1老,2011-10-25,1老, , , , , , ,2011-10-16,4老,2011-10-23,0老, , , , , , 
枚盔,2012,2012-10-14,-2老,2012-10-21,-3老, , , , , , ,2012-10-16,4老,2012-10-23,0老, , , , , , 
枚盔,2013,2013-10-21,5老,2013-10-27,3老, , , , , , ,2013-10-21,9老,2013-10-27,4老, , , , , , 
枚盔,2014,2014-10-14,-2老,2014-10-21,-3老, , , , , , ,2014-10-12,0老,2014-10-18,-5老, , , , , , 
冕玫,1988,1988-10-21, ,1988-10-28, , , ,1988-10-24, ,1988-11-07, , , , , , , , , , , 
冕玫,1989,1989-10-16, ,1989-10-25, , , ,1989-10-23, ,1989-11-06, ,1989-10-19, ,1989-10-27, , , ,1989-10-26, ,1989-11-07, 
冕玫,1990,1990-10-21, ,1990-10-30, , , ,1990-10-27, ,1990-11-08, ,1990-10-23, ,1990-10-31, , , ,1990-10-28, ,1990-11-10, 
冕玫,1991,1991-10-17, ,1991-10-24, , , , , , , ,1991-10-15, ,1991-10-26, , , , , , , 
冕玫,1992,1992-10-21, ,1992-10-27, , , , , , , ,1992-10-20, ,1992-10-25, , , , , , , 
冕玫,1993,1993-10-05, ,1993-10-23, , , , , , , ,1993-10-02, ,1993-10-21, , , , , , , 
冕玫,1994,1994-10-10, ,1994-10-27, , , , , , , ,1994-10-05, ,1994-10-22, , , , , , , 
冕玫,1995,1995-10-10, ,1995-10-25, , , , , , , ,1995-10-08, ,1995-10-22, , , , , , , 
冕玫,1996,1996-10-16, ,1996-10-23, , , , , , , ,1996-10-07, ,1996-10-21, , , , , , , 
冕玫,1997,1997-10-13, , , , , , , , , ,1997-10-10, , , , , , , , , 
冕玫,1998,1998-10-23, ,1998-10-31, , , , , , , ,1998-10-21, ,1998-10-30, , , , , , , 
冕玫,1999,1999-10-18, ,1999-10-26, , , , , , , ,1999-10-17, ,1999-10-26, , , , , , , 
冕玫,2000,2000-10-18, ,2000-10-29, , , , , , , ,2000-10-15, ,2000-10-25, , , , , , , 
冕玫,2001,2001-10-16, ,2001-10-28, , , , , , , ,2001-10-14, ,2001-10-25, , , , , , , 
冕玫,2002,2002-10-15, ,2002-10-28, , , , , , , ,2002-10-12, ,2002-10-23, , , , , , , 
冕玫,2003,2003-10-20, ,2003-10-27, , , , , , , ,2003-10-18, ,2003-10-26, , , , , , , 
冕玫,2004,2004-10-21, ,2004-10-30, , , , , , , ,2004-10-18, ,2004-10-25, , , , , , , 
冕玫,2005,2005-10-24, ,2005-11-02, , , , , , , ,2005-10-15, ,2005-10-26, , , , , , , 
冕玫,2006,2006-10-15, ,2006-10-30, , , , , , , ,2006-10-12, ,2006-10-27, , , , , , , 
冕玫,2007,2007-10-12, ,2007-10-30, , , , , , , ,2007-10-10, ,2007-10-25, , , , , , , 
冕玫,2008,2008-10-14, ,2008-10-30, , , , , , , ,2008-10-13, ,2008-10-30, , , , , , , 
冕玫,2009,2009-10-16, ,2009-10-29, , , , , , , ,2009-10-15, ,2009-10-28, , , , , , , 
